Id	Price	Age_08_04	KM	cc	Doors	Weight
383	7000	53	176000	1900	3	1105
384	7750	54	174139	2000	4	1100
385	8900	45	174000	1900	5	1095
386	8500	55	150000	1600	3	1075
387	8950	54	149329	2000	5	1135
388	9900	51	146736	1600	5	1080
389	10250	53	143513	1900	5	1140
390	9250	48	142130	1600	5	1119
391	7750	48	140700	1900	5	1110
392	9450	54	138394	1900	4	1095
393	7750	55	137000	2000	5	1135
394	8250	52	135258	1900	5	1140
395	9950	49	131364	1600	5	1075
396	4450	56	129155	1800	5	1110
397	9950	50	126110	1600	3	1055
398	9000	48	119742	1600	5	1080
399	9950	53	117913	1900	5	1110
400	12450	47	117430	2000	3	1165
401	10500	55	117175	1600	4	1035
402	10750	54	115558	1600	4	1035
403	8950	53	115113	1400	3	1025
404	10500	54	115046	1900	5	1140
405	5150	56	113997	2000	5	1135
406	10950	49	107859	1400	5	1060
407	9450	52	104805	1400	3	1025
408	9950	54	103454	1600	5	1075
409	10950	51	103018	1900	5	1140
410	11900	47	102352	1600	5	1080
411	9950	50	102030	1400	5	1060
412	11950	54	101352	1600	5	1080
413	7900	50	99865	1600	4	1035
414	10950	52	99323	1600	3	1055
415	8950	48	98100	1900	5	1140
416	11950	51	98040	1600	5	1080
417	10900	49	97600	1600	3	1045
418	9950	55	97234	1600	5	1080
419	9950	51	96135	2000	3	1115
420	10950	54	96100	1600	5	1080
421	8950	55	94401	2000	3	1115
422	8950	55	94122	1300	3	1015
423	10500	49	91340	1600	3	1055
424	8950	53	90200	1400	3	1025
425	9250	53	90097	1900	5	1140
426	11500	48	89049	1400	5	1060
427	9750	52	89000	1600	5	1075
428	9950	45	87274	1600	3	1040
429	11450	49	86221	1600	3	1045
430	12500	54	84598	1600	5	1075
431	10500	50	83567	1600	5	1075
432	12950	50	83106	1600	5	1075
433	12200	50	82805	1600	3	1040
434	10950	50	82735	1400	3	1030
435	10950	54	81905	1600	5	1105
436	11290	49	80320	1600	3	1070
437	10750	49	80090	1400	3	1030
438	10895	53	79800	1600	5	1075
439	11500	47	78785	1600	5	1119
440	9750	48	78600	1600	5	1075
441	10250	55	77780	1600	3	1040
442	12500	49	77648	1600	4	1030
443	11950	54	77270	1600	4	1035
444	10750	50	76167	1400	5	1060
445	11450	46	75249	1600	4	1035
446	11950	54	75231	1600	5	1080
447	11750	48	75045	1600	3	1055
448	10950	50	74849	1600	4	1060
449	11950	55	74715	1600	5	1080
450	10995	49	74656	1900	3	1105
451	11450	56	74500	1400	3	1025
452	8900	49	74494	1600	5	1075
453	10500	50	73634	1587	5	1075
454	11750	47	73403	1600	5	1075
455	11450	49	73175	1400	3	1030
456	12000	52	73000	1600	3	1055
457	11950	50	72242	1600	3	1070
458	9850	53	72000	1400	3	1025
459	10950	54	71725	1600	4	1035
460	10950	54	71276	1600	5	1080
461	8695	50	70440	1900	3	1105
462	10990	53	70239	1600	3	1040
463	9500	55	69813	1400	3	1025
464	11950	49	69659	1300	3	1025
465	10750	46	69574	1400	5	1065
466	8750	47	69000	1900	5	1140
467	8750	49	68565	1600	4	1030
468	11450	55	68520	2000	3	1115
469	9950	46	68414	1400	3	1025
470	11950	56	66777	1600	5	1090
471	13950	52	66527	1600	5	1080
472	11250	54	66063	1600	5	1090
473	10900	50	65471	1400	5	1060
474	9750	56	65400	1400	3	1025
475	9950	52	65170	1400	3	1025
476	11950	56	65000	1600	5	1075
477	10450	48	64193	1600	3	1040
478	8950	54	64000	1400	3	1025
479	10250	54	63792	1600	5	1075
480	9930	53	63635	1600	4	1035
481	10500	54	63135	1600	3	1050
482	11950	54	63123	1600	4	1035
483	11500	48	63000	1900	5	1140
484	11500	55	63000	1600	4	1035
485	11450	54	62987	1600	5	1080
486	9900	56	62751	1600	3	1050
487	9500	54	62519	1400	3	1025
488	10500	50	62280	1400	5	1060
489	10750	50	61672	1600	5	1075
490	8950	54	61000	2000	5	1140
491	12000	56	61000	1600	3	1050
492	9940	53	60558	1600	4	1105
493	10950	47	60348	1600	4	1030
494	10750	54	60239	1600	5	1075
495	9799	51	59000	1400	3	1025
496	11750	51	58761	1300	5	1060
497	11950	54	58745	1600	4	1035
498	11250	52	58596	1600	3	1045
499	11750	54	58530	1600	5	1075
500	10950	55	58377	1600	3	1050
501	11250	56	58142	1600	5	1080
502	9950	53	57948	1400	3	1025
503	9700	51	57645	1600	5	1080
504	11950	47	57500	1600	4	1105
505	9900	53	57475	1600	3	1040
506	9990	55	56743	1600	3	1045
507	9475	48	56675	1400	3	1025
508	11500	54	55877	1600	5	1075
509	11950	53	55500	1600	4	1035
510	11500	55	54900	1400	5	1060
511	10500	50	54465	1600	5	1075
512	10900	46	53700	1400	5	1060
513	11700	52	53561	1400	5	1060
514	11900	51	53408	1600	5	1080
515	13950	51	53268	1600	5	1080
516	10950	49	53116	1400	3	1025
517	10500	56	52448	1400	3	1025
518	10750	55	52149	1400	3	1085
519	11950	55	52141	1600	5	1070
520	10000	56	52000	1400	3	1025
521	10495	48	50967	1400	5	1060
522	11450	50	50400	1600	5	1080
523	9400	54	50000	1400	3	1025
524	11950	51	50000	1300	5	1045
525	9650	53	49969	1600	5	1075
526	18950	49	49568	1600	3	1105
527	11450	51	49473	1600	3	1055
528	10250	52	49432	1600	3	1050
529	11450	48	49417	1600	3	1045
530	9950	54	49366	1400	3	1025
531	10500	56	48731	1600	3	1055
532	13750	54	48370	1600	5	1080
533	9950	48	48071	1400	3	1025
534	10250	54	47852	1600	4	1030
535	10850	54	47768	1600	3	1055
536	11895	52	47689	1600	5	1075
537	12950	53	47451	1600	3	1055
538	11950	50	47219	1600	5	1080
539	10750	56	47211	1600	5	1070
540	9550	54	46856	1400	5	1060
541	10950	56	46500	1300	5	1035
542	11750	52	46449	1600	4	1035
543	10950	47	46391	1600	5	1075
544	12450	54	46230	1600	3	1055
545	10500	52	46029	1600	4	1030
546	10900	50	46000	1400	3	1025
547	12950	50	45900	1600	5	1075
548	10950	47	45850	1400	5	1060
549	12500	56	45336	1600	5	1080
550	9950	55	44537	1400	3	1025
551	10750	56	43700	1300	3	1025
552	12500	48	43120	1400	3	1030
554	10450	49	41710	1600	3	1040
555	10750	52	41700	1400	3	1025
556	12950	49	41636	1600	5	1105
557	10995	50	41273	1400	5	1060
558	11950	49	40836	1600	3	1075
559	11250	50	40400	1400	5	1060
560	11950	47	40361	1600	5	1090
561	13750	54	40325	1300	5	1045
562	11000	47	40000	1600	5	1080
563	13500	50	39706	1600	5	1080
564	10950	54	39291	1600	3	1040
565	10750	54	39000	1400	3	1025
566	8950	47	38900	1400	3	1025
567	12950	51	38403	1600	3	1055
568	9750	56	37461	1400	3	1025
569	10900	54	37000	1400	3	1025
570	10995	55	36406	1600	4	1035
571	10750	48	36005	1400	5	1065
572	10950	52	36000	1600	5	1075
573	13000	49	36000	1600	5	1080
574	12950	45	36000	1600	3	1070
575	11500	52	35823	1600	5	1075
576	10950	56	35230	1400	3	1025
577	11710	48	35142	1600	3	1055
578	9980	49	34890	1400	3	1025
579	12250	51	34882	1600	5	1075
580	11500	46	34000	1600	5	1075
581	11950	56	33998	1600	5	1080
582	11500	55	33230	1600	3	1050
583	11900	46	33021	1600	5	1080
584	11930	49	31999	1400	3	1030
585	10500	52	31579	1400	3	1025
586	8950	56	31000	1400	3	1025
587	10450	46	30806	1400	5	1060
588	10500	55	30461	1300	5	1050
589	12950	50	29686	1600	3	1075
590	9950	55	29650	1300	3	1025
591	12900	52	29500	1600	3	1055
592	9950	48	28656	1400	3	1085
593	9950	55	27500	1400	3	1025
594	10950	48	26938	1600	3	1040
595	10950	53	26624	1400	5	1060
596	9950	47	26221	1400	3	1025
597	10950	50	22648	1400	5	1060
598	10800	50	22500	1400	3	1025
599	10500	56	19313	1400	3	1025
600	10450	50	17619	1600	4	1030
601	10600	51	17069	1400	3	1025
602	10450	48	15000	1400	3	1025
603	12950	50	10210	1400	5	1065
604	11250	47	5309	1600	3	1070
605	7500	50	1	2000	3	1260
606	8950	52	31000	1398	3	1025
607	6950	58	205000	2000	4	1100
608	7900	68	204250	2000	3	1115
609	5950	68	194545	1300	4	1000
610	7500	59	190900	2000	3	1115
611	7500	62	183500	2000	5	1140
612	6900	65	176184	2000	3	1115
613	5751	67	174833	2000	4	1100
614	6950	68	155720	1300	3	1015
615	7950	67	155500	1600	5	1050
616	7750	59	154783	2000	3	1120
617	7950	64	154462	2000	5	1135
618	8250	64	150585	1600	3	1065
619	6250	67	149000	2000	5	1135
620	9500	62	147636	2000	5	1135
621	6900	59	144521	2000	5	1135
622	8450	64	144000	1600	3	1065
623	7350	65	140168	2000	3	1115
624	8950	68	140000	1600	5	1085
625	6900	60	139800	2000	3	1115
626	8950	59	137050	1600	3	1078
627	8750	61	136956	1600	3	1065
628	7950	67	135337	1600	5	1120
629	8950	64	133769	2000	3	1120
630	8950	58	133405	2000	5	1135
631	8950	65	132807	2000	5	1135
632	7950	64	132393	2000	5	1135
633	7750	60	130270	1600	3	1050
634	7500	59	130000	2000	4	1135
635	8950	67	127000	2000	5	1135
636	9800	67	126800	2000	5	1135
637	9450	66	126452	1600	5	1085
638	8950	62	125175	2000	5	1150
639	8750	68	125000	2000	3	1115
640	10500	61	123000	2000	5	1135
641	7995	59	121626	1300	5	1050
642	10450	64	120400	1600	5	1090
643	9950	66	120000	2000	4	1100
644	9950	68	119541	1600	3	1055
645	8950	68	119500	1600	5	1070
646	7950	68	119289	1600	4	1035
647	10950	57	118833	1600	3	1065
648	9950	64	118000	2000	5	1150
649	8600	68	117955	1600	4	1065
650	7250	65	117609	1300	3	1015
651	6950	68	117000	2000	3	1115
652	8000	64	116000	1300	5	1045
653	9950	58	115715	1600	5	1070
654	9450	60	115191	1600	4	1079
655	7950	68	115071	1600	3	1055
656	9450	63	115000	1600	3	1109
657	9950	64	114846	1600	5	1075
658	6950	65	114383	2000	3	1260
659	8250	59	113700	1600	5	1065
660	9950	67	113118	1300	3	1020
661	8250	59	112827	1300	5	1040
662	9950	68	112116	1600	5	1070
663	10500	66	112000	1600	3	1065
664	7950	62	112000	2000	4	1135
665	9750	65	111769	1600	3	1065
666	9250	61	110853	1600	5	1070
667	9500	68	110287	1600	3	1050
668	9950	62	109547	1600	5	1075
669	7750	63	109230	1600	3	1050
670	9500	68	109150	1600	5	1075
671	9950	67	108793	1600	4	1035
672	9750	64	106784	1600	3	1050
673	9750	58	105942	1300	5	1040
674	5950	59	105000	1300	3	1015
675	8500	62	105000	1300	5	1040
676	8495	68	104299	1600	5	1085
677	9250	67	104000	1300	3	1020
678	6900	68	104000	1300	3	1015
679	8950	58	103458	1300	3	1025
680	9500	63	103400	1600	5	1075
681	9250	63	102807	1300	5	1055
682	9895	68	102494	1600	5	1090
683	9950	57	102300	2000	5	1135
684	7950	61	102106	1600	3	1050
685	8750	68	101889	1600	5	1075
686	8250	57	101791	2000	3	1115
687	8950	63	101469	1600	3	1065
688	8950	68	101001	1600	5	1075
689	8950	61	100748	1600	5	1070
690	8950	65	100550	1600	5	1075
691	9450	67	99781	1600	5	1085
692	8950	59	98658	1300	3	1020
693	9250	65	98500	1600	5	1075
694	8750	64	98291	1300	4	1000
695	9950	61	97648	1600	3	1065
696	9950	61	97425	1600	5	1075
697	9900	65	97173	1300	3	1015
698	8950	66	97046	1300	4	1000
699	8950	67	96000	1600	3	1050
700	12250	60	96000	2000	4	1100
701	9250	67	95750	1600	5	1070
702	10250	61	95147	1600	3	1050
703	8950	68	95000	1600	3	1050
704	7999	65	95000	1600	3	1050
705	9900	66	94606	1600	3	1065
706	8250	63	94504	1300	4	1000
707	10500	65	93428	1600	5	1075
708	8450	65	93408	1300	3	1015
709	9900	68	93296	1600	5	1090
710	10500	62	93098	1600	5	1075
711	8500	67	92922	2000	4	1100
712	9500	61	92498	1600	3	1050
713	9450	65	92226	1600	3	1065
714	9900	68	91505	2000	3	1115
715	8250	64	91333	1600	3	1050
716	8750	65	91246	1300	3	1015
717	9500	58	91000	1600	5	1075
718	8450	68	90727	1600	3	1050
719	8490	62	90000	1600	3	1050
720	8750	60	89576	1600	4	1035
721	9750	64	89145	1300	3	1025
722	9950	63	89000	1600	5	1085
723	8500	68	88807	1600	3	1050
724	8450	63	88685	1600	5	1070
725	7900	62	88667	1600	4	1040
726	8750	57	88480	1600	3	1050
727	7950	61	88127	1300	3	1015
728	6900	62	88000	1300	3	1020
729	8150	65	87821	1300	3	1015
730	10995	59	87654	1300	5	1065
731	8900	59	86888	1600	3	1050
732	9500	59	86871	1300	5	1040
733	8950	68	86714	1600	4	1035
734	11500	65	85889	1600	3	1065
735	10450	62	85000	1600	3	1050
736	10500	60	85000	1300	3	1025
737	9250	68	84976	1600	4	1035
738	10950	65	84558	1600	5	1120
739	10450	62	84549	1600	5	1075
740	9250	68	84482	1600	5	1075
741	8750	62	83908	1600	5	1070
742	8750	67	83560	1300	3	1015
743	9800	68	83000	1600	5	1100
744	8250	64	82723	1300	3	1015
745	10450	62	82421	1600	3	1065
746	9750	58	82254	1600	5	1050
747	8950	61	82115	1600	3	1055
748	7450	65	82000	1300	3	1015
749	8450	68	81965	1300	5	1035
750	8250	66	81250	1600	3	1050
751	10950	65	81192	1600	3	1065
752	8950	61	81170	1600	4	1040
753	8750	66	81083	1300	3	1015
754	10450	61	80714	1600	5	1075
755	10950	57	80470	1600	5	1085
756	8450	65	80439	1600	4	1035
757	9950	59	80430	1600	3	1065
758	9950	68	80426	1600	3	1055
759	8750	62	80265	1300	3	1015
760	9950	65	80153	1600	5	1070
761	9500	68	80121	1600	5	1070
762	8250	65	80086	1600	4	1035
763	10950	62	80000	1600	5	1075
764	7950	60	80000	1300	5	1015
765	8250	65	80000	1300	2	1015
766	9895	67	79858	1600	4	1040
767	9130	67	79762	1300	3	1015
768	10950	59	79660	1300	5	1065
769	10500	60	79150	1600	5	1075
770	8900	61	79000	1600	3	1050
771	9500	57	78955	1300	5	1045
772	10950	59	78750	1975	5	1155
773	7950	68	78521	1300	3	1015
774	7950	64	78356	1300	3	1015
775	7950	65	78076	1300	3	1015
776	9500	61	78063	1600	5	1100
777	10950	67	77821	1600	5	1075
778	9750	68	77695	1600	4	1035
